,url,type,2nd type,3rd type,Source Notes (things to know?),Unnamed: 5
0,100percentfedup.com,bias,,,,
1,365usanews.com,bias,conspiracy,,,
2,4threvolutionarywar.wordpress.com,bias,conspiracy,,,
3,aheadoftheherd.com,bias,,,"false quotes regarding banking, heavily promotes businesses advertising on site/ buying of precious metals",
4,americablog.com,bias,clickbait,,domain for sale,
5,americanlookout.com,bias,clickbait,,,
6,americanpatriotdaily.com,bias,clickbait,bias,,
7,americanthinker.com,bias, ,,"sites both reliable/not reliable sources, mix of opinion/'fact'",
8,americasfreedomfighters.com,bias,clickbait,,,
9,ammoland.com,bias,,, ,
10,anotherdayintheempire.com,bias,conspiracy,,,
11,antiwar.com,bias,unreliable,,site is biased but very open about bias and source,
12,antoniusaquinas.wp.com,bias,conspiracy,,,
13,bignuggetnews.com,bias,rumor,,,
14,brotherjohnf.com,bias,conspiracy,,,
15,centerforsecuritypolicy.org,bias,conspiracy,,http://www.bbc.com/news/world-us-canada-35037943 ; ,
16,charismanews.com,bias,,,"minimal factual reporting despite being ""news'",
17,citizensunited.org,bias,,,loaded language etc.,
18,conservapedia.com,bias, , ,,
19,conservativefiringline.com,bias,conspiracy,clickbait,,
20,conservativehq.com,bias,,,http://conservativehq.com/article/24945-f-bomb-opposition-president-trump,
21,conservativepapers.com,bias,,,"incorrect/uncited data, citing other sources labeled as bias",
22,conservativespirit.com,bias,fake,,,
23,conservativestate.com,bias,,,"links to other borderline fake, but mostly just propagandistic websites",
24,conservativetribune.com,bias,conspiracy,unreliable,,
25,countercurrentnews.com,bias,,,,
26,counterjihad.com,bias,,,,
27,cowgernation.com,bias,conspiracy,,,
28,dailynewsbin.com,bias,clickbait,,,
29,dailypoliticsusa.com,bias,,,,
30,dailysignal.com,bias,,,,
31,dailytelegraph.com.au,bias,rumor,,australian tabloid mag,
32,dailywire.com,bias,,,,
33,darkpolitricks.com,bias,conspiracy,,,
34,deadlyclear.wordpress.com,bias,fake news,,"Not a personal website, owned by Project Maui, Inc. Makes unverifiable extraordinary claims, seems to be advertising for lawyers with a history of legal reprimands.",
35,debunkingskeptics.com,bias,conspiracy,,Science doesn't mean what they think it means,
